ID,company,job_title,job_location
1,REALTIME recruitment,AWS Data Engineer,"Dublin, County Dublin"
2,Brightwater,Quantitative Data Engineer,"Dublin, County Dublin"
3,Nab-Ire Ventures Limited,Data Engineer (Limerick/Hybrid),"Limerick, County Limerick"
4,AIB Group,"Data Engineering Lead, Dublin","Dublin, County Dublin"
5,AON,Data Products Engineer,"Dublin, County Dublin"
6,Fruition Group,Data and BI Engineer,"Dublin, County Dublin"
7,Reperio Human Capital Ltd,Senior Data Engineer,"Dublin, County Dublin"
8,Reperio Human Capital Ltd,Senior Data Engineer,"Dublin, County Dublin"
9,Reperio Human Capital Ltd,Senior Data Engineer,"Dublin, County Dublin"
10,Reperio Human Capital Ltd,Senior Data Engineer - Databricks,"Dublin, County Dublin"
11,REALTIME recruitment,Senior Data Engineer,"Dublin, County Dublin"
12,Dunnes Stores,Senior Data Engineer,"Dublin, County Dublin"
13,Adecco,Senior Data Engineer,"Galway, Republic of Ireland"
14,@Recruit IT Limited,IT Infrastructure & Data Centre Build Engineer,"Dublin, County Dublin"
15,Reperio Human Capital Ltd,Lead Data Engineer,"Dublin, County Dublin"
16,Reperio Human Capital Ltd,Lead Data Engineer,"Dublin, County Dublin"
17,ICON Clinical Research Ltd,Senior Clinical Data Science Programmer,"Dublin, County Dublin"
18,Data Intellect (AquaQ Analytics),Data Engineer Contractor (Python Pandas),"County Dublin, Dublin"
19,Data Intellect (AquaQ Analytics),Data Engineer Contractor (Python / kdb+),"County Dublin, Dublin"
20,Experian Group,Information Security Data Engineer,"County Dublin, Dublin"
21,Zalando,Backend & Data Engineer - Ratings & Reviews (HYBRID),"County Dublin, Dublin"
22,Mastercard,Data Engineer,"County Dublin, Dublin"
23,Qualtrics,Proof of Concept Strategic Solution & Data Engineer,"County Dublin, Dublin"
24,SAP Ireland Limited,Security Data Governance Engineer,County Dublin
25,J.P MORGAN S.E Dublin Branch,"Workplace Solutions - Data Analyst, Vice President","Dublin, County Dublin"
26,Fidelity Investments,Senior Data Engineer,"Galway, Republic of Ireland"
27,Experian Group,Lead Data Engineer,"County Dublin, Dublin"
28,Microsoft,Cloud and AI - Data Solution Engineer - German Speaking,"County Dublin, Dublin"
29,Microsoft,"Digital Solution Engineer - Cloud & AI Data, German Market","County Dublin, Dublin"
30,AXA Group,Scrum Master,"Dublin, County Dublin"
31,Deloitte Ireland LLP,"AI & Data, Manager/Senior Manager, Hybrid","Dublin, County Dublin"
32,SAP Ireland Limited,Senior Security Data Governance Engineer,County Dublin
33,Amach,Data Engineering Operations Manager,"County Dublin, Dublin"
34,Mastercard,"Director, Data Scientist","County Dublin, Dublin"
35,General Motors Ireland Ltd,"Staff Engineer, Applications, Site Reliability Engineering","Limerick, County Limerick"
36,Mastercard,Senior Data Scientist,"County Dublin, Dublin"
37,Proofpoint,Senior Backend Engineer,"Cork, County Cork"
38,Paypal,"Manager, Data Science - Dublin","County Dublin, Dublin"
39,PM Group,Data Centre Cx Commissioning Engineer,"Dublin, County Dublin"
40,Eaton Corporation,Data Center Electrical Engineer,"County Dublin, Dublin"
